日期,当日销量（张）,当日销量（元）,QQ音乐（张）,QQ音乐（元）,网易云音乐（张）,网易云音乐（元）,酷狗音乐（张）,酷狗音乐（元）,酷我音乐（张）,酷我音乐（元）,咪咕音乐（张）,咪咕音乐（元）
2023/3/1,849,22923,0,0,849,22923,0,0,0,0,0,0
2023/3/2,660,17820,0,0,660,17820,0,0,0,0,0,0
2023/3/3,577,15579,0,0,577,15579,0,0,0,0,0,0
2023/3/4,658,17766,0,0,658,17766,0,0,0,0,0,0
2023/3/5,526,14202,0,0,526,14202,0,0,0,0,0,0
2023/3/6,484,13068,0,0,484,13068,0,0,0,0,0,0
2023/3/7,454,12258,0,0,454,12258,0,0,0,0,0,0
2023/3/8,700,18900,0,0,700,18900,0,0,0,0,0,0
2023/3/9,560,15120,0,0,560,15120,0,0,0,0,0,0
2023/3/10,483,13041,0,0,483,13041,0,0,0,0,0,0
2023/3/11,819,22113,0,0,819,22113,0,0,0,0,0,0
2023/3/12,690,18630,0,0,690,18630,0,0,0,0,0,0
2023/3/13,653,17631,0,0,653,17631,0,0,0,0,0,0
2023/3/14,659,17793,0,0,659,17793,0,0,0,0,0,0
2023/3/15,980,26460,0,0,980,26460,0,0,0,0,0,0
2023/3/16,522,14094,0,0,522,14094,0,0,0,0,0,0
2023/3/17,566,15282,0,0,566,15282,0,0,0,0,0,0
2023/3/18,698,18846,0,0,698,18846,0,0,0,0,0,0
2023/3/19,611,16497,0,0,611,16497,0,0,0,0,0,0
2023/3/20,534,14418,0,0,534,14418,0,0,0,0,0,0
2023/3/21,571,15417,0,0,571,15417,0,0,0,0,0,0
2023/3/22,451,12177,0,0,451,12177,0,0,0,0,0,0
2023/3/23,394,10638,0,0,394,10638,0,0,0,0,0,0
2023/3/24,443,11961,0,0,443,11961,0,0,0,0,0,0
2023/3/25,788,21276,0,0,788,21276,0,0,0,0,0,0
2023/3/26,774,20898,0,0,774,20898,0,0,0,0,0,0
2023/3/27,533,14391,0,0,533,14391,0,0,0,0,0,0
2023/3/28,595,16065,0,0,595,16065,0,0,0,0,0,0
2023/3/29,519,14013,0,0,519,14013,0,0,0,0,0,0
2023/3/30,501,13527,0,0,501,13527,0,0,0,0,0,0
2023/3/31,461,12447,0,0,461,12447,0,0,0,0,0,0
2023/4/1,566,15282,0,0,566,15282,0,0,0,0,0,0
2023/4/2,634,17118,0,0,634,17118,0,0,0,0,0,0
